Reference, Quantity, Value, Footprint, Datasheet, MPN, ConradPN
C101 C102 ,2,4.7uF,Capacitors_SMD:C_1206_HandSoldering,,"Value","1278977 - 62"
D101 ,1,NOPOP,LEDs:LED-0805,,"N/A","N/A"
D102 D103 ,2,LED,LEDs:LED-0805,,"KP-2012EC","180102 - 62"
P101 ,1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P102 ,1,JST 2 Pin,fca-lib:JST_2Pin,,"S2B-PH-K-S","740197-62"
R101 R102 ,2,470,Resistors_SMD:R_0805_HandSoldering,
R103 R107 R108 R109 ,4,NOPOP,Resistors_SMD:R_0805_HandSoldering,
R104 R106 ,2,1K,Resistors_SMD:R_0805_HandSoldering,
THERM1 ,1,10K,Resistors_SMD:R_0805_HandSoldering,
U101 ,1,MCP73834-FCI/UN,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm,,"MCP73834-FCI/UN","1085505 - 62 "
USB1 ,1,USB-MICRO-B,fca-lib:USB_Micro_B,,"10118193-0001LF","N/A"